date_time,k,d,j,price,atr,direction
2024-03-01 18:47:00,,,,3507.06,,
2024-03-01 18:48:00,,,,3507.06,,
2024-03-01 18:49:00,,,,3504.60,,
2024-03-01 18:50:00,,,,3504.60,,
2024-03-01 18:51:00,,,,3522.00,,
2024-03-01 18:52:00,,,,3522.00,,
2024-03-01 18:53:00,,,,3522.00,,
2024-03-01 18:54:00,,,,3522.92,,
2024-03-01 18:55:00,,,,3522.92,,
2024-03-01 18:56:00,,,,3522.00,,
2024-03-01 18:57:00,,,,3522.00,,
2024-03-01 18:58:00,,,,3522.92,,
2024-03-01 18:59:00,98.32605531295475,97.21009218825793,100.5579815623484,3525.71,,
2024-03-01 19:00:00,94.14179693668086,96.37332095851504,89.67874889301251,3522.00,,
2024-03-01 19:01:00,88.28359387336172,93.58381537433245,77.68315087142028,3522.00,5.963571428571478,
2024-03-01 19:02:00,54.95026054002839,79.12521711669032,6.600347386704527,3522.00,5.804744897959213,
2024-03-01 19:03:00,27.475130270014205,56.9029948944681,-31.380598978893588,3522.00,5.657263119533539,
2024-03-01 19:04:00,33.065953654191226,38.497114821411266,22.203631319751153,3525.71,5.518172896709717,
2024-03-01 19:05:00,33.065953654191226,31.20234585946555,36.79316924364259,3522.00,5.389017689801882,
2024-03-01 19:06:00,33.065953654191226,33.06595365419122,33.06595365419125,3522.00,5.004087854816033,
2024-03-01 19:07:00,1.8947806286936004e-14,22.04396910279415,-44.087938205588245,3509.17,5.563081579472025,
2024-03-01 19:08:00,33.272983303158846,22.112978985783357,55.59299193790983,3525.71,6.347147180938307,
2024-03-01 19:09:00,44.57855562261165,25.95051297525683,81.83464091732131,3514.79,6.673779525157004,
2024-03-01 19:10:00,55.88412794206446,44.578555622611646,78.4952725809701,3514.79,6.19708098764579,
2024-03-01 19:11:00,55.88412794206446,52.11560383558018,63.421176155033024,3525.71,6.534432345671095,
2024-03-01 19:12:00,60.17662525377352,57.31496037930081,65.89995500271895,3515.42,7.4491157495517415,
2024-03-01 19:13:00,48.871052934320716,54.9772687100529,36.65862138285635,3504.60,7.689893196012343,
2024-03-01 19:14:00,48.69454839320185,52.58074219376536,40.922160792074834,3525.56,8.637757967725749,
2024-03-01 19:15:00,66.42981209537332,54.66513780763196,89.95916067085604,3526.03,8.054346684316785,
2024-03-01 19:16:00,99.76314542870665,71.62916863909393,156.03109900793208,3526.03,7.479036206865587,
2024-03-01 19:17:00,99.2689376263801,88.48729838348669,120.83221611216692,3525.56,6.978390763518063,
2024-03-01 19:18:00,88.38077461502546,95.8042858900374,73.53375206500155,3519.03,7.085648566123917,
2024-03-01 19:19:00,74.33504433037764,87.3282521905944,48.34862860994414,3517.00,7.760959382829348,
2024-03-01 19:20:00,41.73277337066423,68.14953077202244,-11.100741432052189,3504.60,8.092319426912974,
2024-03-01 19:21:00,19.28760304868555,45.11847358324247,-32.37413802042829,3504.60,7.930725182133471,
2024-03-01 19:22:00,2.6053233644537006e-14,20.3401254731166,-40.68025094623312,3504.60,7.780673383409646,
2024-03-01 19:23:00,2.6053233644537006e-14,6.429201016228531,-12.858402032456985,3504.60,7.224910998880387,
2024-03-01 19:24:00,2.6053233644537006e-14,2.289526593004767e-14,3.236916907351568e-14,3504.60,7.125274498960354,
2024-03-01 19:25:00,2.6053233644537006e-14,2.289526593004767e-14,3.236916907351568e-14,3504.60,7.032754891891751,
2024-03-01 19:26:00,2.6053233644537006e-14,2.289526593004767e-14,3.236916907351568e-14,3504.60,6.530415256756626,
2024-03-01 19:27:00,0.015790304753252358,0.005263434917764997,0.03684404442422708,3504.61,6.064671309845454,
2024-03-01 19:28:00,0.04267202518394645,0.01948744331240513,0.0890411889270291,3504.61,5.6314805019993495,
2024-03-01 19:29:00,20.111282659833815,6.723248329923668,46.88735131965411,3508.11,5.479231894713682,
2024-03-01 19:30:00,20.20984341282777,13.454599365948505,33.720331506586305,3504.62,5.502858187948415,
2024-03-01 19:31:00,20.297312750144258,20.206146274268608,20.479645701895556,3504.62,5.109796888809242,
2024-03-01 19:32:00,33.56203544882772,24.68973053726658,51.30664527195001,3510.43,5.159811396751436,
2024-03-01 19:33:00,66.78101772441387,40.21345530779528,119.91614255765107,3510.43,4.791253439840618,
2024-03-01 19:34:00,100.00000000000004,66.78101772441387,166.43796455117237,3519.56,5.1304496227091425,
2024-03-01 19:35:00,99.0864527629227,88.62249016244554,120.01437796387702,3519.16,4.793274649658512,
2024-03-01 19:36:00,99.0864527629227,99.39096850861516,98.47742127153779,3521.10,4.5894693175400505,
2024-03-01 19:37:00,95.16250454285789,97.7784700229011,89.93057358277144,3519.16,4.432057214141665,
2024-03-01 19:38:00,92.1521035598704,95.46702028855033,85.52227010251053,3519.16,4.05585600486533,
2024-03-01 19:40:00,96.07605177993518,93.46008629989196,101.30798274002163,3523.46,3.7449747858981945,
2024-03-01 19:41:00,100.0,96.07605177993518,107.84789644012963,3524.46,3.7874081154102046,
2024-03-01 19:42:00,100.0,98.6920172599784,102.6159654800432,3524.46,3.441604242504198,
2024-03-01 19:43:00,100.0,100.0,100.0,3524.46,3.2067342632560836,
2024-03-01 19:44:00,100.0,100.0,100.0,3524.46,2.999508091530992,
2024-03-01 19:45:00,100.0,100.0,100.0,3524.46,2.806336418490258,
2024-03-01 19:46:00,66.66666666666667,88.8888888888889,22.2222222222222,3509.17,3.7339078337960183,
2024-03-01 19:47:00,51.125541125540586,72.59740259740242,8.181818181816908,3517.39,4.398884202725698,
2024-03-01 19:48:00,17.79220779220725,45.19480519480484,-37.012987012987935,3506.38,4.89268899590392,
